# timestamp tx ty tz qx qy qz qw
1305031910.765238 -0.000000 0.000000 0.000000 0.000000 0.000000 -0.000000 1.000000
1305031910.797230 -0.011455 -0.001165 0.002270 0.004412 -0.002342 -0.008551 0.999951
1305031910.835208 -0.019728 -0.001449 0.006562 0.006667 -0.007668 -0.015394 0.999830
1305031910.865025 -0.028752 -0.005045 0.011878 0.007659 -0.014087 -0.022497 0.999618
1305031910.897222 -0.033413 -0.007036 0.017230 0.007951 -0.023789 -0.031431 0.999191
1305031910.935211 -0.029255 -0.017286 0.025373 0.007775 -0.032870 -0.037175 0.998738
1305031910.965249 -0.040876 -0.020110 0.028673 0.012441 -0.036218 -0.040128 0.998460
1305031910.997325 -0.052816 -0.008171 0.029179 0.018249 -0.044188 -0.047644 0.997720
1305031911.035050 -0.064053 -0.012681 0.034959 0.015348 -0.054580 -0.056548 0.996789
1305031911.065269 -0.084579 -0.014885 0.039052 0.014700 -0.066988 -0.065471 0.995495
1305031911.097196 -0.087163 -0.015451 0.044180 0.013581 -0.087579 -0.076357 0.993134
1305031911.135664 -0.094094 -0.027806 0.051097 0.012321 -0.102720 -0.089534 0.990596
1305031911.165177 -0.106382 -0.030969 0.051715 0.015473 -0.113767 -0.097949 0.988546
1305031911.197213 -0.111014 -0.022468 0.053739 0.020956 -0.126260 -0.103245 0.986387
1305031911.235651 -0.120304 -0.022753 0.056526 0.022901 -0.136571 -0.108294 0.984427
1305031911.265104 -0.128137 -0.023343 0.058699 0.025122 -0.147649 -0.117399 0.981726
1305031911.297334 -0.139739 -0.026193 0.061456 0.024831 -0.155310 -0.125432 0.979556
1305031911.333191 -0.146197 -0.031672 0.065232 0.025377 -0.165099 -0.131414 0.977153
1305031911.365235 -0.147519 -0.036720 0.069250 0.027003 -0.173913 -0.137983 0.974672
1305031911.397333 -0.156210 -0.041259 0.072853 0.030066 -0.178489 -0.142781 0.973063
1305031911.433256 -0.167735 -0.038382 0.072942 0.035210 -0.183349 -0.145396 0.971598
1305031911.465250 -0.177791 -0.035713 0.075774 0.038598 -0.190265 -0.145621 0.970105
1305031911.497291 -0.189824 -0.036754 0.076360 0.039789 -0.199297 -0.144718 0.968377
1305031911.533251 -0.193876 -0.038087 0.081019 0.041803 -0.211594 -0.145073 0.965626
1305031911.565335 -0.201969 -0.042031 0.084964 0.042983 -0.220648 -0.144536 0.963627
1305031911.597302 -0.212105 -0.044362 0.086882 0.047165 -0.231444 -0.144902 0.960840
1305031911.633337 -0.212984 -0.037436 0.093526 0.054027 -0.244667 -0.150544 0.956324
1305031911.665124 -0.220346 -0.035328 0.098302 0.056890 -0.253651 -0.158765 0.952480
1305031911.697167 -0.225749 -0.034448 0.102204 0.057932 -0.262885 -0.167006 0.948496
1305031911.733203 -0.227340 -0.034274 0.109169 0.058333 -0.272639 -0.177106 0.943874
1305031911.765284 -0.228807 -0.032726 0.115931 0.058132 -0.281147 -0.187294 0.939414
1305031911.797297 -0.233216 -0.032623 0.120208 0.056089 -0.286614 -0.195573 0.936193
1305031911.833338 -0.240319 -0.026856 0.122733 0.054094 -0.291361 -0.202509 0.933366
1305031911.865269 -0.248556 -0.022144 0.123455 0.049957 -0.297882 -0.208552 0.930203
1305031911.897159 -0.254938 -0.022989 0.126937 0.043312 -0.307010 -0.214507 0.926205
1305031911.933063 -0.263778 -0.020509 0.126823 0.036757 -0.316787 -0.220340 0.921816
1305031911.965140 -0.272696 -0.018935 0.126895 0.028972 -0.329925 -0.226690 0.915927
1305031911.997252 -0.276346 -0.014623 0.128988 0.021190 -0.346478 -0.231811 0.908718
1305031912.033135 -0.274773 -0.014298 0.135602 0.011728 -0.362253 -0.235837 0.901674
1305031912.065365 -0.275258 -0.020890 0.140466 0.001999 -0.373991 -0.238761 0.896169
1305031912.096953 -0.272521 -0.022007 0.147469 -0.002130 -0.383055 -0.243543 0.891039
1305031912.133282 -0.273855 -0.027940 0.152845 -0.004397 -0.389442 -0.252985 0.885615
1305031912.165138 -0.273393 -0.029541 0.155088 -0.000991 -0.395365 -0.263773 0.879835
1305031912.197357 -0.271162 -0.029032 0.157489 0.003189 -0.399571 -0.276179 0.874104
1305031912.233265 -0.269270 -0.031836 0.160009 0.007105 -0.402458 -0.287717 0.869020
1305031912.265090 -0.270029 -0.036934 0.161779 0.011429 -0.404448 -0.297135 0.864871
1305031912.297250 -0.273575 -0.048145 0.163989 0.019158 -0.407952 -0.303068 0.861022
1305031912.333274 -0.270366 -0.047657 0.158943 0.029661 -0.411527 -0.303206 0.858972
1305031912.365250 -0.267388 -0.047435 0.156536 0.035766 -0.415025 -0.303323 0.857012
1305031912.397198 -0.269658 -0.045290 0.148825 0.039986 -0.418551 -0.304406 0.854724
1305031912.433290 -0.264176 -0.041572 0.150695 0.043359 -0.426547 -0.309337 0.848816
1305031912.465142 -0.262748 -0.042013 0.151287 0.044464 -0.433582 -0.316197 0.842644
1305031912.497123 -0.255208 -0.035414 0.154043 0.045396 -0.440325 -0.321076 0.837235
1305031912.533113 -0.254157 -0.037948 0.157397 0.041034 -0.444629 -0.326297 0.833157
1305031912.565146 -0.253232 -0.038122 0.158526 0.036978 -0.449596 -0.328141 0.829952
1305031912.597090 -0.250967 -0.038637 0.161823 0.032516 -0.455103 -0.328754 0.826889
1305031912.633132 -0.250708 -0.042022 0.162178 0.028884 -0.458666 -0.330210 0.824471
1305031912.665220 -0.248971 -0.043317 0.163567 0.026230 -0.463086 -0.334088 0.820517
1305031912.697182 -0.250919 -0.045660 0.162779 0.022449 -0.468692 -0.339723 0.815115
1305031912.733125 -0.251534 -0.045151 0.162330 0.020236 -0.475502 -0.346666 0.808277
1305031912.765193 -0.248790 -0.048370 0.168988 0.019365 -0.482197 -0.353743 0.801234
1305031912.797155 -0.245563 -0.046344 0.170789 0.020164 -0.483153 -0.357470 0.798982
1305031912.833077 -0.243543 -0.048059 0.174942 0.019525 -0.481900 -0.360159 0.798547
1305031912.865153 -0.242812 -0.051894 0.178512 0.019971 -0.479504 -0.362267 0.799024
1305031912.897198 -0.239329 -0.054196 0.181659 0.022575 -0.476421 -0.362253 0.800803
1305031912.933115 -0.235598 -0.057866 0.184084 0.023714 -0.472554 -0.360204 0.803980
1305031912.965034 -0.237452 -0.065328 0.184633 0.026194 -0.469676 -0.361650 0.804940
1305031912.997049 -0.233286 -0.064954 0.184094 0.033637 -0.466396 -0.361716 0.806539
1305031913.033133 -0.229966 -0.064103 0.180708 0.038009 -0.462861 -0.359124 0.809534
1305031913.065209 -0.228478 -0.065739 0.179943 0.039857 -0.460817 -0.354643 0.812581
1305031913.097038 -0.222815 -0.066991 0.182876 0.041345 -0.458313 -0.345978 0.817642
1305031913.133146 -0.216960 -0.069353 0.187245 0.042950 -0.452395 -0.336464 0.824794
1305031913.165211 -0.213347 -0.071431 0.188317 0.044012 -0.442575 -0.324373 0.834849
1305031913.197113 -0.208557 -0.072786 0.190948 0.044621 -0.432729 -0.310962 0.845019
1305031913.233126 -0.205484 -0.075166 0.192378 0.044261 -0.422307 -0.296729 0.855365
1305031913.265022 -0.199570 -0.075696 0.195152 0.044347 -0.411824 -0.279977 0.866053
1305031913.297160 -0.191778 -0.079912 0.200669 0.043773 -0.400348 -0.263806 0.876477
1305031913.333122 -0.184313 -0.078659 0.203525 0.045420 -0.386768 -0.248661 0.886857
1305031913.365070 -0.175798 -0.082969 0.208615 0.045685 -0.375193 -0.236972 0.894979
1305031913.397099 -0.167632 -0.083727 0.211553 0.047748 -0.362549 -0.226569 0.902743
1305031913.433081 -0.159339 -0.087625 0.214500 0.050007 -0.347851 -0.216624 0.910809
1305031913.465231 -0.147482 -0.089282 0.216998 0.053933 -0.329425 -0.205121 0.920052
