# timestamp tx ty tz qx qy qz qw
1341847980.722988 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1341847980.754743 0.001484 0.004188 -0.000472 0.000959 0.000337 -0.000906 0.999999
1341847980.786856 0.000289 0.001760 -0.000619 -0.000435 0.000149 -0.001301 0.999999
1341847980.822978 -0.004195 -0.000131 -0.000650 -0.000095 0.000364 -0.001783 0.999998
1341847980.854676 -0.006525 0.000463 -0.001529 0.000705 0.000492 -0.002156 0.999997
1341847980.890728 -0.005876 0.000183 -0.002320 0.000111 0.001112 -0.002705 0.999996
1341847980.922978 -0.011787 -0.002183 -0.002392 0.000350 0.001629 -0.002693 0.999995
1341847980.954645 -0.013905 -0.001506 -0.003098 0.000930 0.001377 -0.004009 0.999991
1341847980.990699 -0.013158 -0.001349 -0.003660 0.000487 0.001960 -0.004767 0.999987
1341847981.022715 -0.014077 -0.002520 -0.003585 -0.000013 0.002653 -0.004232 0.999988
1341847981.054711 -0.013700 -0.001051 -0.003969 0.000718 0.001881 -0.003803 0.999991
1341847981.090715 -0.016497 0.000200 -0.003793 0.000258 0.002001 -0.003468 0.999992
1341847981.122985 -0.014878 0.000097 -0.004099 0.001044 0.002567 -0.003221 0.999991
1341847981.158632 -0.012698 0.001012 -0.004545 0.001829 0.002976 -0.003081 0.999989
1341847981.190636 -0.018376 -0.002714 -0.005300 0.000368 0.003886 -0.002052 0.999990
1341847981.222978 -0.022398 -0.002556 -0.005205 0.000346 0.004177 0.000233 0.999991
1341847981.258722 -0.024975 -0.001523 -0.005769 0.001241 0.004043 0.000440 0.999991
1341847981.290787 -0.025224 0.000552 -0.006717 0.001632 0.003376 0.002299 0.999990
1341847981.322892 -0.026961 0.000511 -0.007173 0.001700 0.003598 0.003829 0.999985
1341847981.358690 -0.026971 -0.001272 -0.008559 0.001924 0.004607 0.003309 0.999982
1341847981.390810 -0.035066 0.000550 -0.009464 0.002405 0.006508 0.004348 0.999966
1341847981.426707 -0.039118 0.000082 -0.009731 0.002605 0.006407 0.004860 0.999964
1341847981.458797 -0.042497 0.001769 -0.011365 0.003582 0.006379 0.005291 0.999959
1341847981.490701 -0.045229 0.003273 -0.012834 0.003641 0.006327 0.006545 0.999952
1341847981.527039 -0.051752 0.003026 -0.014399 0.003190 0.007127 0.005976 0.999952
1341847981.558722 -0.059095 0.005465 -0.016145 0.004387 0.008191 0.006073 0.999938
1341847981.594855 -0.064429 0.003951 -0.018328 0.003515 0.008923 0.005358 0.999940
1341847981.626675 -0.068384 0.005845 -0.018538 0.004631 0.010444 0.005173 0.999921
1341847981.658738 -0.076195 0.009121 -0.020907 0.005881 0.011566 0.005109 0.999903
1341847981.694720 -0.078361 0.009252 -0.022994 0.004744 0.011436 0.004703 0.999912
1341847981.726650 -0.085152 0.011119 -0.023468 0.004601 0.012443 0.004710 0.999901
1341847981.758846 -0.091189 0.012477 -0.024428 0.003990 0.013006 0.004999 0.999895
1341847981.794659 -0.096491 0.013299 -0.026564 0.002875 0.013412 0.005548 0.999891
1341847981.826678 -0.101218 0.019416 -0.027647 0.002671 0.013590 0.005845 0.999887
1341847981.862719 -0.107596 0.017899 -0.026928 0.000989 0.014141 0.004603 0.999889
1341847981.894631 -0.114530 0.017560 -0.028443 0.000348 0.014374 0.004328 0.999887
1341847981.926602 -0.119442 0.026148 -0.030810 0.000998 0.013710 0.004511 0.999895
1341847981.994808 -0.125373 0.022281 -0.031286 -0.002814 0.012422 0.004189 0.999910
1341847982.062739 -0.134962 0.019287 -0.032188 -0.002090 0.012177 0.001793 0.999922
1341847982.094786 -0.137811 0.017904 -0.032016 -0.001545 0.011733 0.001553 0.999929
1341847982.130710 -0.141051 0.019472 -0.031336 -0.000335 0.011393 0.001358 0.999934
1341847982.162730 -0.149590 0.011462 -0.032242 0.000430 0.011836 0.000277 0.999930
1341847982.194674 -0.150345 0.022800 -0.034706 0.004690 0.010163 0.002339 0.999935
1341847982.230594 -0.147716 0.023616 -0.035963 0.003900 0.009063 0.002365 0.999949
1341847982.262666 -0.149232 0.015515 -0.036654 0.001279 0.010946 0.001561 0.999938
1341847982.294994 -0.153360 0.015034 -0.037053 0.002050 0.013523 0.001241 0.999906
1341847982.330655 -0.158877 0.015962 -0.035511 0.003151 0.015606 0.000941 0.999873
1341847982.398909 -0.176111 0.008567 -0.037050 0.006388 0.017090 0.006162 0.999815
1341847982.430770 -0.175859 0.011583 -0.038718 0.008760 0.015293 0.008206 0.999811
1341847982.462624 -0.175104 0.011262 -0.039378 0.009595 0.016055 0.008575 0.999788
1341847982.498616 -0.178578 0.013390 -0.039298 0.010830 0.019200 0.009298 0.999714
1341847982.530757 -0.182875 0.015336 -0.039111 0.010451 0.021930 0.009763 0.999657
1341847982.566660 -0.188097 0.011394 -0.038722 0.008248 0.024135 0.009691 0.999628
1341847982.598726 -0.189686 0.013145 -0.037415 0.006866 0.025586 0.010692 0.999592
1341847982.630723 -0.196543 0.008568 -0.034115 0.003961 0.028658 0.011397 0.999516
1341847982.666620 -0.205276 0.007778 -0.032913 0.002979 0.031898 0.011706 0.999418
1341847982.698638 -0.209793 0.009381 -0.032330 0.002169 0.034964 0.012121 0.999313
1341847982.730674 -0.216746 0.008435 -0.030973 0.000857 0.038749 0.012495 0.999170
1341847982.766706 -0.229035 0.006166 -0.030230 -0.000459 0.043489 0.012707 0.998973
1341847982.798737 -0.235915 0.004762 -0.028345 0.000008 0.045830 0.014174 0.998849
1341847982.834747 -0.246462 0.002319 -0.028021 -0.000092 0.048001 0.016049 0.998718
1341847982.866670 -0.257586 0.001264 -0.025985 0.001170 0.049567 0.016125 0.998640
1341847982.898700 -0.270182 -0.002112 -0.026689 0.002858 0.050745 0.017273 0.998558
1341847982.934803 -0.282967 0.004497 -0.026527 0.005323 0.050579 0.019201 0.998521
1341847982.966708 -0.292938 0.006459 -0.026322 0.004507 0.049181 0.020870 0.998562
1341847982.998783 -0.302633 0.005693 -0.025874 0.003212 0.048963 0.020775 0.998579
1341847983.034693 -0.316774 0.005915 -0.025047 0.002018 0.051132 0.020096 0.998488
1341847983.066707 -0.330253 0.005206 -0.023422 0.000737 0.052785 0.020685 0.998391
1341847983.102757 -0.341831 0.003989 -0.021885 -0.000488 0.052997 0.021297 0.998367
1341847983.134717 -0.354388 0.000837 -0.021174 -0.001927 0.053462 0.022098 0.998323
1341847983.166651 -0.362016 0.000198 -0.019985 -0.000932 0.052703 0.023209 0.998340
1341847983.202653 -0.372380 -0.000203 -0.019882 0.000064 0.051771 0.024547 0.998357
1341847983.234717 -0.376243 0.004488 -0.019456 0.000400 0.049826 0.025698 0.998427
1341847983.266753 -0.382688 0.005280 -0.021240 -0.000460 0.049220 0.025621 0.998459
1341847983.302701 -0.389479 0.009275 -0.018703 -0.002012 0.049861 0.025009 0.998441
1341847983.334718 -0.398188 0.006872 -0.017119 -0.004444 0.052131 0.024473 0.998330
1341847983.370887 -0.403901 0.001441 -0.017357 -0.006684 0.054225 0.023232 0.998236
1341847983.402670 -0.418847 -0.002717 -0.015883 -0.006600 0.057545 0.023022 0.998056
1341847983.434705 -0.430092 0.001871 -0.015522 -0.004817 0.058203 0.024729 0.997987
1341847983.470674 -0.439541 0.003005 -0.015342 -0.005895 0.057060 0.026960 0.997989
1341847983.502767 -0.443022 -0.003514 -0.016031 -0.006667 0.056593 0.026137 0.998033
1341847983.534806 -0.450387 -0.002834 -0.016662 -0.004769 0.059550 0.023911 0.997927
