# timestamp tx ty tz qx qy qz qw
1305031910.765238 -0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1305031910.797230 -0.011446 -0.001160 0.002265 0.004414 -0.002344 -0.008558 0.999951
1305031910.835208 -0.019712 -0.001441 0.006553 0.006670 -0.007673 -0.015407 0.999830
1305031910.865025 -0.028727 -0.005033 0.011866 0.007663 -0.014093 -0.022516 0.999618
1305031910.897222 -0.033356 -0.006922 0.017178 0.007994 -0.023757 -0.031463 0.999191
1305031910.935211 -0.029137 -0.016902 0.025192 0.007922 -0.032714 -0.037198 0.998741
1305031910.965249 -0.040693 -0.019453 0.028368 0.012694 -0.035940 -0.040151 0.998466
1305031910.997325 -0.052604 -0.007444 0.028861 0.018526 -0.043881 -0.047674 0.997727
1305031911.035050 -0.063812 -0.011891 0.034618 0.015648 -0.054242 -0.056583 0.996801
1305031911.065269 -0.084302 -0.014034 0.038697 0.015019 -0.066622 -0.065512 0.995512
1305031911.097196 -0.086784 -0.014379 0.043717 0.013978 -0.087114 -0.076415 0.993165
1305031911.135664 -0.093946 -0.027152 0.050323 0.012544 -0.101874 -0.088943 0.990734
1305031911.165177 -0.106457 -0.029802 0.051767 0.015893 -0.113153 -0.097697 0.988635
1305031911.197213 -0.111365 -0.020949 0.053934 0.021466 -0.125534 -0.102903 0.986505
1305031911.235651 -0.120888 -0.020866 0.056870 0.023507 -0.135745 -0.107855 0.984575
1305031911.265104 -0.128187 -0.022242 0.059311 0.025553 -0.147211 -0.117381 0.981783
1305031911.297334 -0.138897 -0.026031 0.062962 0.025076 -0.155543 -0.125906 0.979452
1305031911.333191 -0.146383 -0.033474 0.067510 0.024999 -0.165475 -0.132297 0.976980
1305031911.365235 -0.148592 -0.040507 0.072375 0.026003 -0.174499 -0.139265 0.974412
1305031911.397333 -0.157187 -0.044917 0.076138 0.029083 -0.179174 -0.144023 0.972784
1305031911.433256 -0.168581 -0.041893 0.076375 0.034249 -0.184136 -0.146589 0.971305
1305031911.465250 -0.177229 -0.038751 0.079723 0.037880 -0.191585 -0.147049 0.969658
1305031911.497291 -0.186311 -0.038713 0.081747 0.039579 -0.201829 -0.146455 0.967600
